chunk_id,title,summary,tags
20_驗收進度嚴重延遲可能導致後果_責任人朱玲,驗收進度嚴重延遲可能導致後果,負責人朱玲、建良、秘書室需積極處理科工館驗收事宜，僅剩三次送件機會。Speaker_09強調時間掌握不精準、協作不足，要求每週報告進度，務必以管的立場處理，避免後果嚴重。,科工館驗收、時限緊迫、積極處理
21_活動辦理狀況紀錄_活動規劃一一三年度_一,活動辦理狀況紀錄,這段文字詳細說明了針對成人樂齡族群舉辦的活動規劃，涵蓋一一三、一一四年度已辦理及三至五月規劃的活動，包含東映影、無人機課程、全美科學營隊、3D筆燈籠、紅皙咖啡、精品洋酒品嚐等，並說明洋酒課程收費（每人2900元）、人數限制（10-30人）及拆帳比例（管方4成、對方6成）。,樂齡活動、課程規劃、洋酒品嚐
22_三到五月活動規劃紅皙咖啡創意琉璃兒童節編,三到五月活動規劃紅皙咖啡創意琉璃兒童節編織洋酒課程盲飲課程收費人數拆帳比例空間規劃綠地可視性儲藏空間整理,活動規劃於三月至五月，包含紅皙咖啡、創意琉璃、兒童節編織及與英蓋洋酒商合作的品酒課程（收費2900元/人，10-30人），課程拆帳比例為管方4成、對方6成。同時討論場地規劃問題，要求開放視線。,活動規劃、洋酒課程、場地問題
23_天氣效應生意影響_創客課程參與人數_創客,天氣效應生意影響,創客工廠績效不佳，參與人數低迷。Speaker_09建議檢討九月至本月半的創客課程統計數據，並要求科教主深入檢討創客工廠的績效，避免密密實實的營運模式。,創客工廠、績效檢討、課程參與
24_15年預算縮減四分之一_工作人員成本高於,15年預算縮減四分之一,工作人員成本高於營收，且未計算固定、隱性成本，能力部分也未精算。15年預算縮減四分之一，現有模式耗費水電等成本遠高於收入，建陽與創客的用人經費問題待解決。,預算赤字、成本控制、用人規劃
25_創客工廠人員配置不足影響推動進度_需要專,創客工廠人員配置不足影響推動進度 需要專人負責,創客工廠目前僅有助理、工讀生、約用人員（尹靜儀）在運作，但人員配置不足，導致創客工廠項目未能真正重視，推動困難。認為需要專人負責推動此項目。,創客工廠、人員配置、項目推動
26_檢討創客工廠十年發展空間及成效,檢討創客工廠十年發展空間及成效,Speaker_09要求柯教主檢討創客工廠十年來在科學博物館的發展狀況，認為投入大量人力物力卻成效不佳，建議借力使力，避免徒勞無功，並將此列為年度重點。,創客工廠、檢討發展、科學博物館
27_柯教主需改變以往作風三到五月開設課程吸引,柯教主需改變以往作風三到五月開設課程吸引成年人確認創客工廠活動可行性做出成績,柯教主被要求改變以往作風，三到五月需開設課程吸引成年人參與，並確認活動是否符合創客工廠的定位，以期做出成績。,創客課程、柯教主、成年人學習
28_課程行銷效果差_參與人數少_無利潤,課程行銷效果差 參與人數少 無利潤,課程參與人數嚴重不足，僅有154人參與20幾場課程，平均每場5-7人，無法達到收支平衡，成本過高。,課程行銷、參與人數、成本效益
29_預算可能被砍_轉型服務對象_科教組需規劃,預算可能被砍 轉型服務對象 科教組需規劃大人科學 吸引親子年輕人樂齡 研究員重點工作 建立競賽模式,科教組面臨預算可能被砍四分之一的挑戰，需轉型服務對象，將重心從兒童轉向成人、樂齡族群。去年農年出生率低迷，未來十年可能面臨營運窘迫，研究人員需規劃大人科學、親子活動，吸引更多族群參與。,科教轉型、族群多元化
30_模式建構後微調交給助理研究員副研究員_研,模式建構後微調交給助理研究員副研究員,研究員應專注研發，避免重複勞力，科教組需落實正向發展與創新。Speaker_09批評現有業務報告重點不明，並要求重新更正，強調年度施政績效目標檢討與每月執行進度追蹤。醫院份子工作不止於機器人大賽及科普podcast。,科教組報告、績效檢討、研發創新
31_朱玲補件_工作重點報告_醫院大廈第二廂,朱玲補件、工作重點報告、醫院大廈第二廂、課程堂數與收入、東林營隊春季班、偏鄉教師研習、科技教育競賽、創客工廠課程、展廳節慶活動、Podcast、教育審議小組、文宣品宣導、援助民族教育計畫申請案。,這段文字主要彙報了科教組的工作進度與規劃，包含醫院工作、課程調整（從66堂減至18堂，收入220萬，去年350萬）、東林營隊、偏鄉教師研習、永續能源競賽、創客工廠課程（2900元）、228連假活動、Podcast、教育審議小組、文宣品設計（三角龍、湯籠集），以及援助民族教育計畫（上限350萬）。,科教組工作彙報
32_114暑假115寒假文宣品設計最後一次,114暑假115寒假文宣品設計最後一次,教育部韓文社交館的援助民族教育活動展品設計計畫，上限350萬。會議討論每月業務報告的執行情形列報與管考，強調應記錄並追蹤審議機制指示事項，以及持續進行需跨部門協調的事項。,業務匯報、展品設計、管考追蹤、韓文社交館
33_原住民教育計畫_科學節結合_博物館各項業,原住民教育計畫、科學節結合、博物館各項業務匯報與規劃（包含活動、課程、志工、預算等）,這段文字主要為博物館公務組的業務匯報，內容涵蓋38婦女節活動場地變更、多項企業合作（中華電信、原大證券）、智慧化導覽系統建置、志工管理、實習生安排、樂齡計畫及服務收入匯報（105年最高4500萬，新增600萬）。,博物館業務、志工管理、企業合作、數位導覽
34_38婦女節活動場地改至高梅館_家庭企業日,38婦女節活動場地改至高梅館,這段文字主要討論博物館近期與中華電信、中郵洽談合作事宜，以及雲端導覽系統建置計畫（60個單元，中英日三語系），並憂慮115年度社教機構發展補助經費可能減少對忠誠計畫的影響，需要審慎規劃預算優先順序。,博物館合作、雲端導覽、預算規劃
35_預算減列_志工管理機制建立_志工專長調查,預算減列 志工管理機制建立 志工專長調查彙整,這段錄音主要討論志工管理機制，包含2月20日首場面對面交流會，以及後續由館長、副館長、工服組主任輪流出席。重點在於建立有效溝通管道，避免浪費時間，並彙整志工的專長以供展聽召集人參考。,志工管理、溝通機制、2月20號、工服組、專長調查
36_科教活動結合_創客課程規劃_票價調整程序,科教活動結合、創客課程規劃、票價調整程序、業務匯報追蹤、行政程序確認、進度釐清。,這段文字主要討論科教館創客工廠活動與科教結合、業務匯報進度追蹤、以及預告票價調漲的行政程序。Speaker_09 對多項細節提出質疑與建議，強調行政流程與跨部門協調的重要性，並要求相關單位釐清後續執行步驟。,科教館、票價、行政流程
37_修正案送教育部審閱程序延遲爭議_管所漲價,修正案送教育部審閱程序延遲爭議 管所漲價時機及對外輿論控管,這段對話主要討論了本館收容案件的法規修正程序，涉及教育部、財政部之間的協調問題。由於教育部的承辦人對法規流程不熟悉，導致多次重跑程序，影響了案件進度。與會者討論如何掌握時程，避免被外界指責聯合漲價等問題。,法規流程、修正案、教育財政、時程掌握
38_館內展示廳導覽資源盤點與科技運用規劃_客,館內展示廳導覽資源盤點與科技運用規劃,這段對話主要討論科工館展示廳導覽與建置計畫，包括科技導覽（花費400萬）與人力導覽志工的整合規劃。公務組建議盤點展廳，評估展示單元需求，並針對客語、台語等多語言建置提供建議。,科工館、導覽、客語、計畫執行
39_計畫交代_教育部國發會_客語語音服務效應,計畫交代 教育部國發會 客語語音服務效應 29月志工樂齡課程優惠 成本效益審慎評估 觀眾反映意見,這段對話主要討論29月的樂齡創客課程志工優惠方案，Speaker_01擔心花費50元公本費換購單堂至少400元的課程，成本效益有待評估，建議審慎思考，並反映觀眾意見。,樂齡創客、志工優惠、成本效益、29月方案
40_50元公本費評估_停車場管理問題_成本效,50元公本費評估 停車場管理問題 成本效益 改善方向 形象問題 安全問題 督導建議,這段對話主要討論停車場管理問題，觀眾反映明明有七八個車位卻不讓人進入，且問題持續多月未改善。與會者建議公務組應積極督導廠商更新系統，若廠商不願投資，則改用手動服務，並改善服務人員態度，避免發生意外。,停車場管理、服務態度、公務督導
41_委外廠商評鑑改善服務品質績效考核客觀印象,委外廠商評鑑改善服務品質績效考核客觀印象館員延伸,委外廠商服務品質是討論核心，與會者質疑廠商評鑑機制未有效解決問題，並強調廠商應積極改善，否則列入績效考核。館方需視委外人員為館員延伸，對服務品質負責。,委外服務、品質管理、績效考核
42_積極改善服務品質_列入紀錄限期改善_館員,積極改善服務品質,館方應對委外廠商（包含臨時工、終點工）服務品質負責，若有問題須列入紀錄並限期改善，避免負面影響館譽，館方需概括承受服務品質問題，不能迴避責任。,委外服務、館譽、限期改善
43_這段文字的對話主題主要是_博物館_美術館,這段文字的對話主題主要是**博物館/美術館的營運管理和節能措施**。具體涵蓋以下幾個方面：,這段文字主要討論本館節能措施及館務匯報。節能方面，建議使用者付費，並調整展廳照明與閉館流程，提早關燈至5點8分。館務方面，包含污水坑密封、空氣品質偵測、椅子集中擺放、以及工業史基廳展示調整等。,節能省電、館務報告
44_改善城市空瓶不良處_閉館流程修正_報告簡,改善城市空瓶不良處、閉館流程修正、報告簡述方式、採購案件組別、驗收SOP製作。,Speaker_03報告了城市空瓶改善措施、閉館流程修正（提早2分鐘）、以及既有及新增的修繕措施。Speaker_09則針對報告格式、資料呈現完整性、及SOP驗收進度提出建議。,閉館流程、改善措施、報告建議
45_資訊小組協助流程圖整理與教育部計畫進度明,資訊小組協助流程圖整理與教育部計畫進度明確化,這段對話討論了流程圖設計與教育部計畫進度追蹤。Speaker_09建議由資訊小組協助各組室理清流程圖順序，並追蹤第31頁的計畫進度（申報竣工、簽辦驗收、派員成合中）。資訊小組已修改流程，明確任務負責人。,流程優化、計畫追蹤、資訊小組
46_12月未完成變更監測_教育部協助人力負擔,12月未完成變更監測,這段會議紀錄討論了教育部協助人力負擔、115年度概算額度減編（共減編約7810萬元，影響基本需求數約25%）、以及體驗設施收入影響等議題。與會者關注加班費、工作負擔重、人力不足等問題，並對部分業務匯報及檢討提出意見。,概算減編、工作負擔、業務檢討
47_收入影響_廠租驗收_廠商改善_費用計算,收入影響 廠租驗收 廠商改善 費用計算 會議紀錄 聯報申請,這段會議討論了綠能探索館廠租驗收進度，因部分驗收未過，可能影響租金收取。與會者強調應積極督促廠商改善並完成驗收，避免爛尾樓產生，同時釐清租金計算起算日期（1月14日/2月10日）。另報告了113年聯報製作完成事宜。,廠租驗收、綠能館、租金計算、廠商改善
48_績效目標評分表回報教育部修正_open,績效目標評分表回報教育部修正,教育部要求各管所將政府資訊公開的open data納入114年KPI，且今年至少需上傳兩筆資料。將由網頁小組向各組室說明細節，並請各組室窗口回覆。,Open Data、KPI績效、政府公開資料
49_邀請會議_報告寫法_合作備忘錄,邀請會議 報告寫法 合作備忘錄,Speaker_09討論了會議邀請與管務匯報報告的撰寫細節，特別強調報告中軍長一詞的使用，應改為館長。接著Speaker_10提請討論本館與高雄市立空中大學簽署合作備忘錄的提案。,合作備忘錄、報告審查、會議邀約
50_本館與高雄市立空中大學簽署合作備忘錄參與,本館與高雄市立空中大學簽署合作備忘錄參與第三人生大學計畫合作體驗設施參訪地點,本館與高雄市立空中大學擬簽署合作備忘錄（MOU），針對教育部推動的第三人生大學計畫，空中大學希望與博物館合作，提供體驗設施與參訪地點，以豐富第三人生大學的學習內容。,第三人生、空中大學、合作備忘錄、博物館、教育計畫
51_協議條款冗餘且表達不明確_需要精簡和重新,協議條款冗餘且表達不明確 需要精簡和重新組織 費用的處理以及研究設備的提供應包含在更廣泛的合作原則中 避免不必要的重複強調,Speaker_09針對一份合作協議的內容提出質疑，認為部分條款冗餘、邏輯混亂，例如關於費用、研究設備與協助、來訪者安排等，認為應精簡條文，並將相關內容整合到更合適的位置，以避免不必要的重複和混淆。,合作協議、條款審查、冗餘條款
52_確認擬定的內容,確認擬定的內容,這段對話討論到一份擬定的內容，團隊成員意識到在提交給對方之前，尚未充分審酌，可能引起對方質疑內容的擬定者。因此，決定先內部審核，確認內容品質。,內容審核、內部討論、擬定確認
