chunk_id,summary
31,這段文字主要彙報了科教組的工作進度與規劃，包含醫院工作、課程調整（從66堂減至18堂，收入220萬，去年350萬）、東林營隊、偏鄉教師研習、永續能源競賽、創客工廠課程（2900元）、228連假活動、Podcast、教育審議小組、文宣品設計（三角龍、湯籠集），以及援助民族教育計畫（上限350萬）。
32,教育部韓文社交館的援助民族教育活動展品設計計畫，上限350萬。會議討論每月業務報告的執行情形列報與管考，強調應記錄並追蹤審議機制指示事項，以及持續進行需跨部門協調的事項。
33,這段文字主要為博物館公務組的業務匯報，內容涵蓋38婦女節活動場地變更、多項企業合作（中華電信、原大證券）、智慧化導覽系統建置、志工管理、實習生安排、樂齡計畫及服務收入匯報（105年最高4500萬，新增600萬）。
34,這段文字主要討論博物館近期與中華電信、中郵洽談合作事宜，以及雲端導覽系統建置計畫（60個單元，中英日三語系），並憂慮115年度社教機構發展補助經費可能減少對忠誠計畫的影響，需要審慎規劃預算優先順序。
35,這段錄音主要討論志工管理機制，包含2月20日首場面對面交流會，以及後續由館長、副館長、工服組主任輪流出席。重點在於建立有效溝通管道，避免浪費時間，並彙整志工的專長以供展聽召集人參考。
36,這段文字主要討論科教館創客工廠活動與科教結合、業務匯報進度追蹤、以及預告票價調漲的行政程序。Speaker_09 對多項細節提出質疑與建議，強調行政流程與跨部門協調的重要性，並要求相關單位釐清後續執行步驟。
37,這段對話主要討論了本館收容案件的法規修正程序，涉及教育部、財政部之間的協調問題。由於教育部的承辦人對法規流程不熟悉，導致多次重跑程序，影響了案件進度。與會者討論如何掌握時程，避免被外界指責聯合漲價等問題。
38,這段對話主要討論科工館展示廳導覽與建置計畫，包括科技導覽（花費400萬）與人力導覽志工的整合規劃。公務組建議盤點展廳，評估展示單元需求，並針對客語、台語等多語言建置提供建議。
39,這段對話主要討論29月的樂齡創客課程志工優惠方案，Speaker_01擔心花費50元公本費換購單堂至少400元的課程，成本效益有待評估，建議審慎思考，並反映觀眾意見。
40,這段對話主要討論停車場管理問題，觀眾反映明明有七八個車位卻不讓人進入，且問題持續多月未改善。與會者建議公務組應積極督導廠商更新系統，若廠商不願投資，則改用手動服務，並改善服務人員態度，避免發生意外。
41,委外廠商服務品質是討論核心，與會者質疑廠商評鑑機制未有效解決問題，並強調廠商應積極改善，否則列入績效考核。館方需視委外人員為館員延伸，對服務品質負責。
42,館方應對委外廠商（包含臨時工、終點工）服務品質負責，若有問題須列入紀錄並限期改善，避免負面影響館譽，館方需概括承受服務品質問題，不能迴避責任。
43,這段文字主要討論本館節能措施及館務匯報。節能方面，建議使用者付費，並調整展廳照明與閉館流程，提早關燈至5點8分。館務方面，包含污水坑密封、空氣品質偵測、椅子集中擺放、以及工業史基廳展示調整等。
44,Speaker_03報告了城市空瓶改善措施、閉館流程修正（提早2分鐘）、以及既有及新增的修繕措施。Speaker_09則針對報告格式、資料呈現完整性、及SOP驗收進度提出建議。
45,這段對話討論了流程圖設計與教育部計畫進度追蹤。Speaker_09建議由資訊小組協助各組室理清流程圖順序，並追蹤第31頁的計畫進度（申報竣工、簽辦驗收、派員成合中）。資訊小組已修改流程，明確任務負責人。
46,這段會議紀錄討論了教育部協助人力負擔、115年度概算額度減編（共減編約7810萬元，影響基本需求數約25%）、以及體驗設施收入影響等議題。與會者關注加班費、工作負擔重、人力不足等問題，並對部分業務匯報及檢討提出意見。
47,這段會議討論了綠能探索館廠租驗收進度，因部分驗收未過，可能影響租金收取。與會者強調應積極督促廠商改善並完成驗收，避免爛尾樓產生，同時釐清租金計算起算日期（1月14日/2月10日）。另報告了113年聯報製作完成事宜。
48,教育部要求各管所將政府資訊公開的open data納入114年KPI，且今年至少需上傳兩筆資料。將由網頁小組向各組室說明細節，並請各組室窗口回覆。
49,Speaker_09討論了會議邀請與管務匯報報告的撰寫細節，特別強調報告中軍長一詞的使用，應改為館長。接著Speaker_10提請討論本館與高雄市立空中大學簽署合作備忘錄的提案。
50,本館與高雄市立空中大學擬簽署合作備忘錄（MOU），針對教育部推動的第三人生大學計畫，空中大學希望與博物館合作，提供體驗設施與參訪地點，以豐富第三人生大學的學習內容。
51,Speaker_09針對一份合作協議的內容提出質疑，認為部分條款冗餘、邏輯混亂，例如關於費用、研究設備與協助、來訪者安排等，認為應精簡條文，並將相關內容整合到更合適的位置，以避免不必要的重複和混淆。
52,這段對話討論到一份擬定的內容，團隊成員意識到在提交給對方之前，尚未充分審酌，可能引起對方質疑內容的擬定者。因此，決定先內部審核，確認內容品質。
